叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
内窥镜摄像头,30.96,2,1,
内衣清洗机,71.25,8,5,
内衣皂/内衣洗涤剂,17.785814,6716,162,
内衣裤清洗液,30.5365,20,1,
内衣配件,35.205882,2888,329,
内饰改装件,18.8,563,177,
内饰清洁/养护剂,35.094377,888,30,
内饰贴纸,13.226667,1347,697,
内饰贴膜,29.6,22,17,
军事小说,25.5,1,1,
军事技术,24.9,1,1,
军事理论,15,2,2,
军棋/陆战棋,25,10,5,
农业基础科学,5.432308,27,2,
农产品加工设备,315.92,1,1,
农产品包装/贮藏工具,5.313522,318,46,
农机配件,5.412,2374,179,
农用/室外环境用卫生农药,14.563636,36,9,
农用无人机,125.1,1,1,
农用耙,12.476419,1722,97,
农用铲,11.346959,1945,88,
农用锄,17.4125,1800,127,
农用锹,26.036364,72,14,
农膜/篷布/遮网/大棚,23.599383,5689,491,
冬瓜,21.8564,38,4,
冰吧,435,4,4,
冰格,25.900044,643,52,
冰桶,12.579412,141,15,
冰淇淋,63.876,2076,380,
冰淇淋机,199.5,3,2,
冰淇淋粉,7.851823,1470,36,
冰爪,58.25,14,5,
冰球杆头,10.44,1,1,
冰箱,256.677229,274,28,
冰箱配件,55.816243,280,38,
冰箱除味剂,17.266667,368,41,
冰糖,24.313956,619,69,
冰鲜三文鱼,104.876404,929,55,
冰鲜梭子蟹,199.538327,412,25,
冰鲜皮皮虾,141.727846,268,11,
冲氧泵,16.30566,402,99,
冲浪板,3300,1,1,
冲锋衣,89.9,6171,1124,
冲锋裤,74.476216,730,151,
冲饮果汁粉,22.896153,999,56,
冲饮果酱/花酱,25.182353,85,16,
冲饮红糖粉,30.96875,88,23,
决明子,24.8,24,13,
决明子组合茶,32.676429,190,11,
冷冻水果,29.607059,71,12,
冷冻蔬菜,37.575,14,5,
冷冻调理刀,6.6,5,3,
冷冻鳄鱼,281.5,6,3,
冷却和热管理,30.513514,43,5,
冷却系统,21.907143,77,42,
冷媒,16.806458,68,10,
冷柜,544.333333,32,15,
冷藏箱/冰包,30.711111,186,92,
冷面,17.783297,1472,65,
冷风机/冷风扇,245.179547,671,26,
冻干制品,26.405974,787,35,
冻疮膏（非药品）,114.99,1,1,
冻豆腐,17.94,11,2,
净水器/净水设备,87.392391,505,49,
净水龙头,54.5,5,3,
净菜,5.814545,11,1,
凉席,55.92,3429,974,
凉皮/拉皮,8.305556,672,31,
凉霸,144,2,2,
凉鞋,53.266667,37431,7145,
减肥塑身,86.587808,1184,19,
减速带/减速垄,15.75,29,16,
凝胶床垫,238.34,1,1,
凝胶甲油膜,16.99,5,5,
凝胶糖果,59.561081,65,10,
凤眼菩提,118,18,11,
出行服务,22.4,5,1,
凿,15.95931,136,25,
刀具套装,24.63871,320,39,
刀剑及配件,45,148,46,
刀座,45,3,3,
刀架,26.973,95,26,
刀鞘/刀套,38,30,20,
刃具,20,508,223,
分离设备,8.928235,100,22,
分配器/分频器/分支器,29.8,3,3,
分酒器,12.268676,77,4,
分页纸/索引纸,5.98,4,2,
切削工具系统,198,35,22,
切削液/切削油,19,2,2,
切割机,92.166604,316,19,
切割片,26.139474,160,34,
切割雕刻垫板,9.4275,29,11,
切糕,115.606374,417,14,
刑法,23.9,1,1,
划痕蜡/釉/修复液,16.3125,48,27,
划线工具,13.208696,138,34,
划线车,100,1,1,
列巴,14.932874,128,9,
刘海片,25.58,197,62,
创业企业和企业家,166.4,3,2,
创口贴,11.467391,273,22,
创意DIY,11.356383,7018,492,
创意礼品/礼盒,29.3625,4658,1130,
别针回形针,25.892632,44,15,
刮水器,9.613333,126,5,
刮痧器具,10.45,19,12,
制何首乌,38,5,2,
制冷垫/制冷床垫,18.48,1,1,
制动总泵,450,2,1,
制动油壶,45,1,1,
刷子,8.38,5294,298,
刹车护手,1230,5,3,
刹车油,11.966667,8,4,
刹车片,96.68,13,10,
刹车片/刹车系统,42.58,27,25,
刹车盘,636.666667,8,6,
刹车装饰件,32,12,8,
刺梨/刺梨原浆,67.09119,198,15,
剃须_喱/剃须膏/剃须泡,18.156667,95,21,
剃须刀配件,17.538148,383,99,
前叉/避震装置,8.82,1,1,
前台/操作台,373.79,3,1,
前置过滤器,15.745652,71,10,
剑道,10.25,3,3,
剪,14.007059,455,72,
剪刀,9.7,549,79,
剪纸,9.157143,18,10,
割草机,9.44437,1389,49,
力娇酒/Liqueur,23.6,15,8,
办公效率软件/电脑基础,5,4,3,
办公柜类,350.342105,63,23,
办公椅,220.8,87,53,
办公沙发/会客沙发,1509,7,7,
办公用纸,15.01,93,49,
办公自动化软件,45.8,22,4,
功夫茶具,47.265714,153,93,
功能包,33.533333,6324,1518,
功能机,148.51875,17,4,
功能胶,20.857143,880,109,
加湿器,24.648263,643,19,
加热枕头/电热枕,23.72,30,4,
动力系统,371.155849,116,11,
动力设备（锅炉/压缩机）,318,11,9,
动态检测,254.714286,74,11,
动感单车,286.8,1,1,
动漫卡牌,74.5,1429,103,
动漫周边,25.354545,7622,1759,
动物,835.28,27,2,
动物保健品/水质调节剂,19.233333,3432,237,
动物油,30.9725,41,14,
动物精华/提取物,84.530769,47,19,
动画碟,82.08,2,2,
助剂/添加剂,13.345533,3280,81,
助听器,120.756275,97,16,
励志,38.235294,970,14,
劳保鞋,30.923116,2032,550,
勺,9.208816,1107,144,
勾线笔,15.09,62,39,
包子,36.320892,4134,273,
包浆豆腐,6.818725,180,16,
包点,7.293161,1445,41,
包真皮座套,139.666667,15,6,
包装机械设备,270,12,7,
化妆刷,13.253299,3554,355,
化妆水/爽肤水,10.488113,23750,581,
化妆蛋/美妆蛋,15.583333,122,25,
化妆镜,18.090909,786,231,
化学,49,8,4,
化学工业,28,1,1,
化工管道及配件,24.396364,54,38,
化橘红,70.442893,492,36,
化橘红茶,295.7612,91,5,
北沙参,18.9,6,4,
匹克球,177,1,1,
匹克球拍,138.52625,28,10,
医学,17.52,37,6,
医学类资格认证,34.45,19,2,
医用制氧机及配件,10.99,10,7,
医用口罩,8.974793,330,59,
医用手套,16.98,76,28,
医用棉签棉球及棉制品,5.215407,454,56,
医用润滑液,26.56,25,10,
医用胶带,12.00375,108,40,
医药卫生类职称考试,6.500204,76,14,
医院/药店/复健家具,89.255,51,14,
十字绣,57.36,27,12,
十字绣及工具配件,8.694375,662,185,
千分尺,646,1,1,
千层/慕斯蛋糕,65.507692,185,19,
千张,22.345714,326,49,
千斤顶,34.608571,29,12,
升学/考研,9,5,2,
升降台,30,3,2,
升降桌,259.181818,23,12,
午餐肉,17.729455,2324,135,
半成品面包,36.188,30,4,
半成品饼干类,104.533333,17,2,
半掌袜,14.880573,286,6,
半身裙,45.78875,66589,7125,
华夫饼,15.166667,21,10,
单双杠/引体向上,151.122222,436,49,
单据收据,14.5,86,43,
单杆轻便推车,115.066667,34,13,
单用途预付卡,50,209,6,
单肩包/斜挎包,40.866613,25789,2371,
单芯线,90.85,25,17,
单质氮肥,12.354909,1148,56,
单质磷肥,8.748228,19071,38,
单质钾肥,6.533257,1334,30,
单鞋,59.333333,58133,6051,
单项安装,2865,1,1,
南瓜,11.846154,8095,104,
南瓜干,14.521494,271,28,
卡包/证件包,16.42157,2262,346,
卡式炉,26.25,79,13,
卡祖笛,16.9,3,2,
卤土豆片,9.9,4,4,
卤菌菇,28.775676,137,11,
卤钨灯,9.2,2,2,
卧室家具套装,560,3,3,
卧蚕笔,20,299,43,
卫浴水箱,45.8,14,10,
卫浴阀门系统,12.58,26,16,
卫生巾,32.430851,11222,782,
卫生棉条,33.8,17,10,
卫衣,49.8,25719,4340,
印油/印泥/印台,12,24,13,
即时去渍剂,18.8,266,39,
即食寿司/饭团,17.129412,250,46,
即食板栗,10.239156,2087,39,
即食燕窝,150.840375,1064,20,
即食花胶/鱼胶,79.9,18,10,
即食轻食简餐,16.457875,1335,19,
即饮咖啡,245.462534,1286,55,
卷/直/烫发器,39.866667,3080,218,
卷尺,8.625319,556,55,
卷扬机,499.8,2,2,
卷烟器,21.4,63,20,
卷笔刀/削笔器,8.9,1170,77,
卷纸,14.165224,7436,163,
卷线盘,29.8,4,2,
卸妆,48.81948,9298,274,
卸妆棉/化妆湿巾,8.979488,2303,126,
历史人物,38.266667,16,4,
历史小说,95.8,18,9,
历史知识读物,27.359016,90,15,
压力容器,16.09,1,1,
压力表,200.606,31,11,
压缩饼干,94.466041,555,58,
厕纸架,30.66346,572,64,
原木板/实木板,26,5,3,
厨卫防水贴/条,9.489655,720,95,
厨宝,228.495,10,6,
厨师机/和面机,127.25,40,12,
厨房储物器具,14.368364,4076,589,
厨房储物架,17.184615,4924,817,
厨房剪刀,9.685694,1025,58,
厨房小工具套装,12.867364,1362,151,
厨房湿巾,12.099287,757,33,
厨房秤/计量秤,24.5,761,93,
厨房空调,4000,1,1,
厨房纸巾,9.556286,1468,89,
厨房雕刻刀,15.21,3,3,
厨房龙头,14.676923,396,104,
厨盆/水槽,265.833333,150,77,
去污/去渍湿巾,27.247894,5100,46,
去皮洗净蔬菜,45.131429,9,3,
叉子,8.6625,128,42,
叉车秤,13.62,1,1,
双截棍,14.9,14,5,
双眼皮贴,7.690859,2567,199,
双肩包,33.010577,8902,752,
双胞胎推车,357.59,2,2,
反光器具,9.435,23,4,
反光带,9.137037,34,6,
反光锥,16.494122,433,5,
反穿衣/罩衣,13.52,549,204,
发冠,23.05,91,20,
发包/丸子,8.205897,978,142,
发声玩具,11.991279,1995,159,
发夹,10.905455,20432,2315,
发夹/发帖/盘发器,6.024615,2097,200,
发廊/美容家具,199,49,33,
发牌机,1213.14286,21,9,
发电机,99,24,16,
发箍,14.642621,4186,613,
发箍假发,14.324792,176,30,
发簪,11.99,678,240,
发糕/米糕,25.776241,433,39,
发绳/发圈,12.085539,13527,1080,
发酵饼干,16.271154,316,31,
发饰,10.652857,4263,818,
发饰套装,77.682759,59,10,
取暖器,99,7,7,
取暖桌/电暖茶几/被炉桌,1194,2,1,
取暖灯,23.8,7,7,
取暖炉,372.12,57,5,
取水/灌溉设备,19.482917,524,139,
变压器,102.4,10,5,
变换器,59,2,1,
变调夹,19.9,12,6,
变速器/保护器,18.8,23,15,
变速箱系统,152,4,4,
口水巾,17.297368,1845,330,
口琴,128,51,20,
口罩,11.76504,4620,505,
口罩附件,8,62,22,
口腔喷剂,9.42381,2560,87,
口腔护理,52.933592,427,29,
口腔清洁,25.263145,1038,40,
口腔科学,41.85,2,1,
口风琴,73.177778,12,3,
口香糖,63.068426,6026,161,
口鼻清洁杀菌剂,11.6,11,8,
古/近代小说（1919年前）,11.636364,19,8,
古典吉他,123.88,1,1,
古典舞配饰,45.2875,18,10,
古琴,950,1,1,
古筝,2993.33333,4,2,
古钱币,70,7,4,
可可粉,31.9,18,13,
可移动坐便器,34.292,51,17,
可视挖耳勺,26.533333,112,27,
可颂,21.371667,18,5,
台尼/台球布,15.492045,95,6,
台式净饮机,1572.875,30,8,
台式机,932.666667,6,4,
台灯,27.825,458,139,
台球,78,35,23,
台球三指手套,20,230,48,
台球修杆器,21.2,2,2,
台球杆,300,321,141,
台球架杆器,45,3,3,
台球桌,101.17,3,3,
台盆/洗面盆,19.89,47,26,
台钓饵,21.84,1350,293,
史学理论,30.571053,34,2,
叶子板及内衬,38.8,11,10,
叶菜类,19.736603,3585,231,
号嘴,22,1,1,
司法案例/实务解析,48.7,1,1,
司法考试,16.83,2,2,
各类尺/三角板,11.476525,1617,110,
各部门经济,44.9,2,2,
合约机,4349.1,4,1,
合页,18.783333,97,38,
合香珠串,25.703,114,47,
合香珠带宝,111.455063,98,2,
合香精油,49.973333,15,3,
合香耳环,184.5,2,1,
吉他音箱,1660,2,2,
吉利丁片,37.81,29,10,
吉士粉,29.88,1,1,
吊坠,103.25,17,3,
吊床,26.079167,523,72,
吊柜/壁柜,379.77,2,2,
吊滑车,48.7,1,1,
吊灯,168,122,101,
吊秤,150,3,2,
吊篮/吊椅,165.91,5,5,
吊钩/抓钩,12.8,62,34,
吊顶,24.4,10,7,
同学录/纪念册,18.146154,149,75,
名片册,14.6,52,33,
名片盒,7.593333,6,3,
后备箱垫,58,432,305,
后备箱弹簧助力器,28.6,28,21,
后视镜,32,55,53,
后视镜辅助镜,12.414474,342,54,
吐司面包,8.418094,4439,184,
吧台,48.1,5,5,
含乳/乳酸菌饮料,25.034832,4468,227,
含金制品,23.28,8,7,
听力学习机,1139,2,1,
听诊器,38.76,22,3,
启动杆/刹车拉杆,64.972857,20,14,
启蒙认知书/黑白卡/识字卡,12.229177,2448,94,
吸奶器,79.2,121,23,
吸尘器,88.216216,160,27,
吸尘器配件,20.9,15,11,
吸水巾,19.644667,89,10,
吸汗巾/垫背巾,12.577113,379,71,
吸油纸,9.9,14,10,
吸油纸/膜,35.666265,116,6,
吸管,12.39,328,45,
吸管杯,30.388571,3005,451,
吸粮机,388,1,1,
吸色片,16.01068,1968,36,
吸顶灯,38.355649,1190,284,
吹风机/吹水机,25.361111,70,14,
吹风枪,156.142857,44,29,
呼吸机及配件,2144.58333,21,5,
呼吸管,85.92,7,3,
呼吸系统(Rx),52.181607,56,1,
呼吸系统用药,79.772161,256,30,
呼啦圈,25.737412,3598,139,
咕咔,8.400769,19,6,
咖啡具套装,12.060606,261,83,
咖啡壶,60.72,36,21,
咖啡机,1467.25,18,9,
咖啡杯,22.288,392,97,
咖啡液,18.135454,1633,88,
咖啡滤纸,11.34,38,21,
咖啡礼盒,52.9,3,3,
咖啡粉,30.525,153,40,
咖啡豆,110.36,961,165,
咖喱,17.220455,162,34,
咸蛋黄,12.448088,1180,11,
咸鸭蛋,10.753062,5366,94,
哄睡仪,21.75,1,1,
哈密瓜,26.857803,1299,35,
哑铃,15.7717,2309,201,
哑鼓垫,15,1,1,
哨片,28.9,18,15,
哲学知识读物,11.55,12,4,
哺乳喂养配件,13.180769,422,52,
唇彩/唇蜜/唇釉,40.094112,16182,1268,
唇笔/唇线笔,8.98,506,70,
唇膜,5.121986,288,25,
唇部护理套装,31.795556,30,7,
唇部磨砂,36.9,7,2,
唇部精华,10.436385,1218,63,
唐卡,30.9375,118,26,
唐装,59.5,20366,2045,
唢呐,80,18,13,
商业/技能,65.678648,12757,19,
商业/财经报纸期刊,21.8,5,3,
商业史传,34.5,1,1,
商务谈判,35.45,1,1,
商厨制冷类设备,184.199439,252,27,
商厨加热类设备,70.196786,96,38,
商厨机械/食品加工设备,33.9,33,16,
商用冰箱,6720,1,1,
商用冷柜,1280,18,13,
商用净/饮水设备,386,10,8,
商用厨房操作台/工作台,328.6,14,10,
商用消毒洗涤设备,210.75,8,5,
商用炉灶,231.75,37,13,
商用送餐车,40,4,2,
啤酒,45.33642,9875,231,
啦啦队彩球,7,22,12,
啦啦队彩绘,15.2375,39,14,
喂养勺,9.708011,1549,88,
喂药器,16.8,28,11,
喂食器,9.85,63,34,
喜字/剪纸/贴纸,15.8,893,254,
喜碗/敬茶杯,14.9,112,37,
喜饼/诞生礼饼,19.95,46,24,
喷头/喷枪,27.6,123,38,
喷涂机,33.166667,12,6,
喷涂设备,24.043333,313,127,
喷灌/滴灌设备,5.438077,364,50,
喷火枪,15.7675,64,17,
喷瓶(面霜分装瓶),9.235294,589,101,
嗒嗒球/球拍,19.9,1,1,
嘴套,8.3,204,39,
四子棋/五子棋,63.833333,7,3,
四轮推车,197.375,595,86,
园艺,9.53,3,2,
园艺刀/剪/锯,15.2475,985,171,
园艺种植套装,16.467465,101,13,
园艺肥料,21.9,1099,130,
围兜,11.144725,339,56,
围巾,17.898333,1563,341,
围棋,14.194615,34,12,
围椅/圈椅,466,8,6,
围裙,12.495556,1989,533,
围裙/围裙套装,29.160533,210,56,
固态硬盘,274.814815,36,7,
固态酒精,16.8,74,24,
固齿器,15.91875,104,14,
国产威士忌,50.497092,420,4,
国产白兰地,38.8,17,6,
国产腕表,55.396243,3682,429,
国产葡萄酒,37.959189,721,55,
国兰/杂交兰/洋兰类,19.304762,1741,224,
国内旅游指南/攻略,9.5025,19,6,
国内贸易经济,42.56,28,8,
国家/地区概况,10.8,11,9,
国家法/宪法,46,1,1,
国画,260.5,38,10,
国际象棋,16.62,2,2,
图书点读套装,281.5,5,2,
图文信息/采集卡,20,17,6,
图片设计/处理,9.53012,112,12,
图钉工字钉,7.45,3,3,
圆子/芋圆,23.437444,246,28,
圆柱冲,40,1,1,
圆珠笔,6.211,74,12,
圆规,10.735778,92,8,
土方机械,43,32,31,
土豆,9.919495,7880,173,
圣女果干,18.8,6,2,
圣诞树,11.21,1,1,
地坪漆,55.185,212,114,
地域文化/群众文化,35.2,1,1,
地布/地席/地垫/地毯,17.9,5818,2285,
地方史志/民族史志,16.8,24,12,
地暖,370,1,1,
地板,21,35,18,
地板保护膜,39.9,4,2,
地板粘尘/粘毛器,12.830625,766,26,
地漏,303.582196,494,100,
地漏芯/地漏盖,9.489861,218,41,
地漏防臭器,9.402879,1988,126,
地球仪,26.859687,50,13,
地理学/自然地理学,26.82082,684,8,
地脚线,15,5,5,
地面清洁剂,15.068727,2872,108,
场地测量尺,6.795,121,7,
场馆座椅,8.23,8,4,
坐便器配件,5.869634,792,64,
坐便椅/坐便凳/马桶凳,31.8,47,37,
坐具类,141.318182,22,1,
坐垫/椅垫/沙发垫,34.448437,4177,1527,
坚果制品,27.60578,1056,42,
垂钓望远镜,29.92,7,6,
垃圾桶,18.668182,87,32,
垃圾桶/垃圾架,17.85,1826,406,
垃圾袋/垃圾袋用品,10.056104,14333,605,
垫圈/挡圈,9.7,28,21,
垫料,12.66,38,20,
埙,57.59,2,2,
基础医学,27.6,7,2,
基质/营养土,12.786667,4874,583,
堂鼓,39.49,6,6,
塑料包装,13.723082,339,119,
塑料原料,8.948095,62,7,
塑料杯,17.635294,620,194,
塑料水袋,8.403405,348,9,
塑料积木,22.965641,428,144,
塑木,31.3,7,5,
塑胶/运动地板,256,7,6,
塑身衣,49.913844,23928,1935,
塑身贴,27.123372,1321,44,
塞尺,59.333333,9,1,
墙体探测仪,19.9,1,1,
墙咔/柔性墙板,254,3,3,
墙壁开关,16.563793,409,32,
墙布/壁布,5.99,12,4,
墙纸,12.361739,710,179,
墙面修补膏,15.60873,274,11,
增强免疫,50.252941,60,8,
增高用品,8.423819,270,21,
墨块/墨丸,51.142857,76,16,
墨旱莲,10.295,24,4,
墨水,38.8,17,14,
墨粉硒鼓耗材,59.166667,189,90,
墨鱼干,79.146341,172,30,
壁灯,100.333333,75,49,
壁炉架/壁炉柜,178,4,4,
壁龛,236.3,2,2,
声卡,98,39,13,
壶,168.2842,55,4,
壶铃,43.909091,475,69,
备用油箱,148.916,13,8,
备胎罩,480.1,9,5,
复印机耗材/配件,36,8,8,
复印纸,17.905688,505,65,
复合床垫,199.5375,4,1,
复合肥/掺混肥,13.344758,17247,273,
复合调味酱,25.525976,25448,809,
复合谷物配方粉,30.377429,894,100,
夏威夷果,45.087333,828,49,
外交/国际关系,5.9,1,1,
外伤喷剂,41.35,11,8,
外国小说,25.531667,39,21,
外国文学小说,26.75125,17,7,
外国随笔/散文集,96.235294,87,6,
外墙乳胶漆,26.458596,467,85,
外拍灯,173.333333,21,9,
外用延时喷剂,18.751505,326,67,
外语/语言文字,10,2,1,
外饰改装套件,88.1275,46,19,
外饰贴纸,9.55,107,60,
多功能刀,13.909091,121,35,
多功能切菜器,12.135063,3293,90,
多功能料理锅,113.905988,351,57,
多功能检测仪,168,6,5,
多功能组合工具,29.326667,362,85,
多功能钳,19.86,2,2,
多功能音箱,14.75,17,6,
多宝格/博古架,124.41,92,38,
多宝玉石,17.106875,186,31,
多用途清洁剂,9.014522,4578,234,
多肉植物,7.524545,5466,536,
夜视镜,64.751806,372,23,
大型摆件/晶洞,36,3,2,
大学教材,34.708333,14,9,
大学英语专业考试,16.9,1,1,
大板桌,104,17,8,
大灯总成,296,33,24,
大米,23.331949,9522,215,
大衣,60.045789,10278,2696,
大麦茶,12.12,7,5,
天文学,7.111111,11,3,
天文望远镜,530.214286,22,6,
天然大理石,683,8,7,
天然气滤芯,128,3,1,
天然水,24.6768,132,16,
天然皮草,1580,1,1,
天然矿泉水,26.058884,7175,193,
天然苏打水,80.947276,522,31,
天窗及配件,12.886957,31,8,
天麻,22.88,454,52,
太子参,23.933333,7,5,
太极佛尘,74.5,3,2,
太极扇,29.7,9,8,
太极服,139,134,73,
太极柔力球,126.2,5,4,
太极棍,18.333333,92,21,
太空豆,8.324444,221,109,
太阳能控制设备,6.666667,3,1,
太阳能摄像头,274.3,14,5,
太阳能热水器,1700,3,3,
太阳能电池,119.33,28,15,
太阳镜,10.565379,1221,107,
失能护理,17,10,8,
头灯,40.462885,673,128,
头皮护理,61.363158,2077,190,
头皮清洁,37.075,33,16,
头盔,34.35,19,15,
头盔锁,17.791765,51,13,
头盔饰配,8.001571,198,33,
头饰,9.656667,119,34,
夹克,78.88,19809,3855,
夹子/收纳夹子,8.425,1788,208,
夹心巧克力,30.595825,648,93,
夹心面包,23.937545,12083,165,
夹心饼干,20.67969,7646,283,
奇亚籽,6.363636,18,8,
奇异果/猕猴桃,35.420513,173,41,
奇异莓,14.181287,171,1,
奇石异矿,92.858491,509,44,
奖状,12.8,1,1,
套几,616,5,4,
套筒及配件,11.6,408,179,
套装玩具,5.765607,317,21,
奢品太阳镜/眼镜/镜框,2478.6,26,5,
奢品女装,964,120,24,
奢品男装,898.166667,32,22,
奢品身体护理,29.9,1,1,
奢品运动鞋,1390,9,8,
女士内裤,35.339728,46079,5346,
女士分体泳衣,62.194118,416,181,
女士泳衣配件,35.8,1,1,
女士连体泳衣,85.042273,547,278,
女装（鉴真）,98.6,139,49,
奶嘴,18.902381,765,135,
奶油,17.444114,384,37,
奶油球,41.9,8,5,
奶油胶/水晶滴胶,68.955556,273,34,
奶片/干,18.072074,3015,89,
奶瓶,68.223077,843,178,
奶瓶/奶嘴配件,14.22,343,127,
奶瓶刷/奶嘴刷,16.018923,328,35,
奶瓶消毒器/消毒锅,293.285714,108,15,
奶瓶清洗液,15.363894,1844,31,
奶皮,29.309104,246,42,
奶粉,58.402,73,19,
奶粉盒,17,85,20,
奶精,25.9,9,5,
奶精炼乳,19.198941,357,23,
奶罐,21.566667,4,2,
奶茶/乳茶粉,18.545882,898,141,
奶酥,29.995571,135,17,
奶酪黄油,22.217422,853,133,
奶锅,51.755556,898,108,
妇科凝胶,123.366135,456,20,
妇科用药,46.133912,488,57,
妇科用药(Rx),7.082857,22,4,
妊娠纹护理,49.505237,435,12,
姑娘果/灯笼果,15.425806,45,2,
姜,5.489885,6419,114,
姜汤粉,84.685385,70,19,
姜黄,37,2,1,
威化饼干,21.483921,6112,151,
娃娃与配件,24.11,910,332,
娃娃跳/弹跳器,13.448889,297,22,
娃娃鱼,217.75,6,3,
娱乐/酒吧/KTV家具,94.25,43,34,
婚姻,24.9,3,1,
婚庆伴手礼,56.24,85,44,
婚庆花篮,168.3,2,2,
婚庆饰品,27.82,343,115,
婚房装扮用品,19.8,1108,257,
婚纱/礼服,127.5,1328,394,
婚车鲜花,155,6,3,
婴儿步前鞋/袜鞋,23.814286,572,191,
婴儿湿巾,32.525939,3411,134,
婴儿玩具,14.828883,7581,448,
婴儿电子秤,12.53,1,1,
婴儿皂,11.9,2,2,
婴儿连身衣/爬服/哈衣,23.6625,13142,3252,
婴幼儿乳钙,198,1,1,
婴幼儿牛奶粉（1段）,206.857143,59,15,
婴幼儿牛奶粉（2段）,424.098,34,13,
婴幼儿牛奶粉（3段）,131.708442,884,156,
婴幼儿羊奶粉（1段）,597,1,1,
婴幼儿羊奶粉（3段）,113.86,26,13,
婴童凉席,21.9,196,48,
婴童多件套,26.8,140,77,
婴童床单,40.341093,215,18,
婴童床垫,451.8,132,56,
婴童护发素,17.67,98,18,
婴童拉拉裤,43.569856,5579,696,
婴童枕头/枕芯,39.822913,3105,249,
婴童枕套,18.9,171,60,
婴童洗浴护肤礼盒,159.046506,90,7,
婴童湿厕纸,6.968889,11,3,
婴童理发器,18.608623,502,17,
婴童睡袋/防踢被,64.116667,1117,292,
婴童纸尿片,80.950373,170,19,
婴童纸尿裤,59.072458,11068,918,
婴童蚊帐,29.727778,71,33,
婴童被套,26.49,13,9,
婴童被子,47.622933,1718,250,
婴童调味品,18.492255,3488,37,
婴童防护口罩,17.730435,206,62,
婴童防护耳罩,22.4,21,5,
婴童防雨罩,35,21,10,
婴童隔尿垫巾,18.267059,1109,38,
婴童雨伞,35.019882,238,54,
婴童餐椅,82.271628,166,28,
婴童鼻眼清洗液,75.671429,116,14,
孕产,43.6,16,3,
孕产妇奶粉,61.227742,114,4,
孕妇内裤,19.9,351,133,
孕妇汽车安全带,33.357143,42,10,
孕妇装,65.339,8992,2188,
孕妇防辐射内裤,19.658571,64,6,
孕妇防辐射服,178,1,1,
孕妇马桶/座便器,68,37,17,
字帖/练字帖/练字板/毛笔字贴,19.38864,664,66,
学习手写板,5.84186,48,4,
学习机/教育伴学机,2742.69329,764,21,
学步带,13.135956,335,45,
学步车,129.403571,57,21,
孵化器,11.813333,85,36,
守宫蜥蜴,280,33,24,
守门员手套,39.22,31,18,
安全带,25,107,35,
安全带套/固定器/延长器,12.675,318,133,
安全帽,21.77956,551,43,
安全梳子,5.28437,159,11,
安全绳,17.87,9,5,
安全网,29.422513,255,34,
安全预警仪,84.641045,348,5,
安睡裤/安心裤,27.047797,7464,271,
安防配件,18.8,19,18,
官场小说,15,1,1,
定制K金,580,2,1,
定制书画艺术,168,3,2,
定制合成钻石,500,1,1,
定制床垫,267.2,14,5,
定制成品光学镜,25.860588,1714,595,
定制成品太阳镜,26.13,119,17,
定制服装,33.335313,1607,420,
定制木艺制品,72.355556,13,5,
定制玛瑙玉髓,50,3,2,
定制篆刻,24.95,4,3,
定制运动服,49.95,3,2,
定制银饰,165,2,2,
定型喷雾/_喱/摩丝,26.040386,8149,536,
定妆,26.9,1,1,
定妆喷雾,49.611205,3229,90,
定时器/计时器/提醒器,15.178125,313,59,
宝宝刷牙杯,18.09,51,10,
宝宝剪刀/指甲钳,9.075,157,23,
宝宝奶片,23.677792,348,13,
宝宝奶酪,39.988119,936,12,
宝宝护手霜,32.98472,167,3,
宝宝棉棒,8.260851,262,16,
宝宝止痒膏,20.932642,595,31,
宝宝水饺/馄饨,33.6,2,2,
宝宝洗手液,21.67125,20,7,
宝宝洗衣液,21.006754,955,53,
宝宝洗衣粉,6.25,73,3,
宝宝浴盆,46.983333,787,84,
宝宝猪肝粉,30.193288,103,8,
宝宝监控,15.92,5,1,
宝宝紫草膏/舒缓膏,21.433333,44,11,
宝宝耳勺,14.186471,219,18,
宝宝舌苔刷,5.6,3,2,
宝宝花露水,55.428434,970,33,
宝宝蚊香液,19.95,461,33,
宝宝蚊香片,19.933333,5,2,
宝宝酸奶,34.078176,505,9,
宝宝防蚊水,13.514187,262,13,
宝宝除螨喷雾/除螨贴,36.064775,289,1,
宝宝馒头,27.86,144,26,
宝宝驱蚊器,28.743333,23,3,
宝宝驱蚊手带,8.432297,253,9,
宝宝驱蚊贴,17.418636,304,9,
宝宝驱蚊香薰,35.591096,735,9,
宝珠/走珠笔,34.32,6,5,
实体娃娃,521.3,6,3,
实木床,552,65,52,
实木沙发,6,45,18,
宠物,30.22,7,1,
宠物伊丽莎白圈,13.74,18,14,
宠物免洗手套,26.992747,381,21,
宠物凉席,11.95,131,58,
宠物围栏,29.9,32,22,
宠物安全扣,9.715,3,2,
宠物推车,595.4,5,5,
宠物智能穿戴,105.370833,33,7,
宠物服装,17.286429,750,246,
宠物汽车安全带,13.3,8,4,
宠物消毒剂,13.852632,143,18,
宠物湿巾,9.913822,937,19,
宠物烘干箱,478,1,1,
宠物相册/明信片,36.9,6,6,
宠物胸背带,16.382941,311,103,
宠物貂活体,197.333333,3,1,
